,i,long,lat
1,1,-73.38935657,-3.85023096
11,2,-73.3570339,-3.82930316
12,3,-73.48989612,-4.23605411
13,4,-73.43365494,-4.01740811
14,5,-73.45401528,-4.09145449
15,6,-73.61289236,-3.8638209
16,7,-73.77881222,-3.90175185
17,8,-73.45397535,-4.10356894
18,9,-73.34375885,-3.91192424
19,10,-73.33913611,-3.8616361
110,11,-73.445298,-4.07278903
111,12,-73.45967258,-3.81849342
112,13,-73.37854862,-3.83201254
113,14,-73.40709272,-3.80449075
114,15,-73.37556247,-3.94105714
115,16,-73.37852636,-4.02494426
116,17,-73.26983455,-3.6710221
117,18,-73.4380861,-4.04400633
118,19,-73.46848942,-4.00623382
119,20,-73.405286,-3.77578186
120,21,-73.90025065,-3.89120158
121,22,-73.37177852,-4.0033394
122,23,-73.33489326,-3.64591663
123,24,-73.39791325,-3.73701806
124,25,-73.36365963,-3.5742517
125,26,-73.71308546,-3.89064181
126,27,-73.25801271,-3.62367767
127,28,-73.4919374,-3.88126434
128,29,-73.31676636,-3.715208
129,31,-73.35164307,-3.63323345
130,32,-73.37273265,-3.57023727
